Company,MMC Company ID,Current PL,Owner Name,MMC Groups,Referral Evidence Band,Match Status,Match Method(s),Matched Referral Source(s),Matched Source Rows,2026 Spine Patients,2026 Ortho Patients,2026 Other Patients,2026 Total B2B Patients,First B2B Appointment,Last B2B Appointment,Last Spine Appointment,Prior Visit Before Reference Patient,Latest Visit-to-First-Appt Lag Days,Median Visit-to-First-Appt Lag,Patients 0–30 Days,Patients 31–60 Days,Patients 61–90 Days,Patients 91+ Days,Patients Without Prior MMC Visit,Referral Production Points,Referral Data Cutoff
Mike Morse Law Firm,2dd4a698-eeec-4552-98ba-d85b130bcc56,Kristen,Kristen Jones,Attorney,Repeat Spine Referrer,Deterministically matched,Reviewed source alias,MIKE MORSE; Mike Morse,103,75,18,1,94,2026-01-05 00:00:00,2026-06-24 00:00:00,2026-06-24 00:00:00,2026-06-24 00:00:00,0,28,50,18,26,0,0,88,2026-07-10 00:00:00
Hesselberg Chiropractic,83b9dec3-57ee-4777-b000-fcb1c228e6c7,Kristen,Kristen Jones,Kristen Strategic Account;Chiropractor,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Hesselberg DC, Jason Joseph; Hesselberg, Jason DC",26,23,0,0,23,2026-01-02 00:00:00,2026-06-17 00:00:00,2026-06-17 00:00:00,2026-04-27 00:00:00,51,25,13,5,5,0,0,88,2026-07-10 00:00:00
Michigan Auto Law,8bd62ae0-e836-472d-84f6-a85688fd5524,Kristen,Kristen Jones,Attorney,Repeat Spine Referrer,Deterministically matched,Exact company name; Exact provider name; Reviewed source alias,KEVIN SEIFERHELD; MI AUTO LAW; MI Auto Law; Mi Auto Law; Michigan Auto Law,15,10,5,0,15,2026-03-09 00:00:00,2026-06-17 00:00:00,2026-06-17 00:00:00,2026-04-29 00:00:00,49,10,13,2,0,0,0,88,2026-07-10 00:00:00
Lakeview Medical Center,64ed5116-24c0-4278-8d87-a7ca5f7d76c4,Coty,Coty Oetjens,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Kloski PA-C, Rachel N; Kloski, Rachel N; Wanis MD, Magdy",13,7,6,0,13,2026-01-05 00:00:00,2026-05-14 00:00:00,2026-04-30 00:00:00,2026-05-04 00:00:00,10,15,9,4,0,0,0,88,2026-07-10 00:00:00
DMC SPORTS MEDICINE NOVI,6e52135e-6cca-4482-9973-58d180f1dce7,Jasmine,Jasmine Jones,Sports Medicine,Repeat Spine Referrer,Deterministically matched,Exact provider name; Exact provider name + referral PL owner; Unique provider first + last + referral PL owner,"COOKE MD, CHRISTOPHER LEE; COOKE, CHRISTOPHER LEE; Cooke, Christopher; MEEHAN MD, ROBERT; Meehan, Robert",7,7,0,0,7,2026-04-21 00:00:00,2026-06-19 00:00:00,2026-06-19 00:00:00,2026-05-11 00:00:00,39,32,2,5,0,0,0,88,2026-07-10 00:00:00
Comprehensive Healthcare Associates and Prevention Medicine,c7781046-a235-49fa-ac8e-4b8d6354c618,Jasmine,Jasmine Jones,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name + referral PL owner,"Jarodiya MD, Babu; Patel MD, Rakesh; Singh MD, Jaspal; Vankayalapati MD, Jaya",24,6,16,2,24,2026-01-12 00:00:00,2026-06-30 00:00:00,2026-06-23 00:00:00,2026-05-22 00:00:00,39,23,15,7,2,0,0,88,2026-07-10 00:00:00
Schoenherr Family Practice,e9020844-6b2a-43b6-9416-51116e859cc2,Coty,Coty Oetjens,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Machesky MD, Kelly K; ROMANO, MATTHEW",8,6,2,0,8,2026-01-05 00:00:00,2026-06-04 00:00:00,2026-05-26 00:00:00,2026-04-27 00:00:00,38,17,6,2,0,0,0,88,2026-07-10 00:00:00
Stonebrooke Family Physicians,c9013f02-25d6-4df2-96f8-b4f1e9936878,Kristen,Kristen Jones,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Becker Mitzner DO, Katherine; Bellisario MD, Ronald; Ewald MD, Matthew T; HAENER DO, JENNIFER; Kastl MD, Stacey; Ryman PA , Elizabeth",17,5,5,7,17,2026-01-05 00:00:00,2026-07-09 00:00:00,2026-05-27 00:00:00,2026-06-10 00:00:00,29,36,6,10,1,0,0,88,2026-07-10 00:00:00
Park Medical Centers,92913d4d-edc4-462b-aecf-ef3f54198f09,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Ozog DO, Richard; POULOS PA, KATHRYN  MARIE",12,5,7,0,12,2026-01-07 00:00:00,2026-06-02 00:00:00,2026-05-29 00:00:00,2026-04-24 00:00:00,39,27.5,6,6,0,0,0,88,2026-07-10 00:00:00
Park Medical Centers - Canton,047f1f57-d796-4b0d-b2d0-b5d576ad50ea,Jasmine,Jasmine Jones,Internal Medicine/PCP,Repeat Spine Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Rollins DO, William; Rollins DO, William F; Rollins MD, William",9,5,3,1,9,2026-01-21 00:00:00,2026-07-07 00:00:00,2026-07-07 00:00:00,2026-07-02 00:00:00,5,28,5,4,0,0,0,88,2026-07-10 00:00:00
